time,pitch,pitch_est,roll,roll_est
1.92,0.000843214,-0.006150369,-0.009619641,-0.008753012
1.93,0.000529185,-0.005839146,-0.009469784,-0.003753138
1.94,0.000242097,-0.00666968,-0.009498592,-0.006418003
1.95,-0.000293798,-0.003007319,-0.009479835,-0.006199272
1.96,-0.000672246,-0.005714371,-0.00864072,-0.008837001
1.97,-0.001254548,-0.014778361,-0.008878527,-0.007987583
1.98,-0.000930767,-0.019201582,-0.009614707,-0.00888648
1.99,-0.001377549,-0.011393369,-0.011207054,-0.009437398
2,-5.81E-05,-0.007111091,-0.014855483,-0.008037038
2.01,-0.000714809,-0.002513631,-0.03063415,-0.017900423
2.02,-0.002039331,0.001681419,-0.060429353,-0.036059664
2.03,-0.002846018,0.003315221,-0.101125211,-0.073642215
2.04,-0.003283425,0.004706994,-0.147673324,-0.141894321
2.05,-0.005208985,0.000918306,-0.179332212,-0.179511332
2.06,-0.005613304,0.000957265,-0.209531501,-0.206488486
2.07,-0.006086231,0.003106683,-0.24340944,-0.227606083
2.08,-0.00642053,0.002623484,-0.280548573,-0.256675897
2.09,-0.006546216,-0.001527091,-0.316692293,-0.288917615
2.1,-0.007251073,0.000987182,-0.349060833,-0.323588966
2.11,-0.007366158,0.004099107,-0.374234825,-0.34727777
2.12,-0.007245336,0.005479583,-0.39768368,-0.375918355
2.13,-0.008211571,0.004877838,-0.424258471,-0.404620359
2.14,-0.007760126,0.006686904,-0.45518285,-0.432780682
2.15,-0.007430816,0.007667521,-0.488671988,-0.447237153
2.16,-0.007367186,0.002969391,-0.526579201,-0.478804079
2.17,-0.008873609,0.009885403,-0.555299103,-0.502637495
2.18,-0.00852552,-0.002732562,-0.576785266,-0.520108134
2.19,-0.008897437,-0.002717232,-0.587765157,-0.541577545
2.2,-0.008131057,0.007865436,-0.59783715,-0.546558561
2.21,-0.008022007,0.002089165,-0.610547364,-0.569095482
2.22,-0.007946381,0.003817396,-0.621801376,-0.578208093
2.23,-0.007666395,0.001344889,-0.635990381,-0.593232845
2.24,-0.008068455,0.002111265,-0.65225178,-0.620988867
2.25,-0.009451172,0.00021866,-0.668296337,-0.612605758
2.26,-0.007958228,-0.005288658,-0.684438765,-0.621406411
2.27,-0.008246306,-0.00422856,-0.692382157,-0.623206097
2.28,-0.008073842,-0.003139788,-0.693920135,-0.633559107
2.29,-0.008579561,-0.002188565,-0.692338169,-0.636920486
2.3,-0.008652408,-0.001292269,-0.693852425,-0.641854346
2.31,-0.008523232,-0.000801376,-0.69330734,-0.645728825
2.32,-0.009241533,-0.00012064,-0.69449842,-0.644164332
2.33,-0.009283234,-0.002227806,-0.695963621,-0.6438905
2.34,-0.009371265,-0.001601666,-0.698835135,-0.643164248
2.35,-0.00869965,-0.001032246,-0.700155497,-0.644203059
2.36,-0.008156854,-0.000877599,-0.701218486,-0.644719879
2.37,-0.007704795,-0.001387798,-0.701299012,-0.643883639
2.38,-0.00834903,0.010496818,-0.695962965,-0.653896057
2.39,-0.006087317,0.004717004,-0.688098907,-0.637039351
2.4,-0.005008877,0.001433442,-0.681297541,-0.6303279
2.41,-0.007163292,-0.016699805,-0.665127218,-0.642204243
2.42,-0.005969664,0.001932462,-0.63919884,-0.619279457
2.43,-0.005770786,-0.002524432,-0.611434639,-0.584406095
2.44,-0.003714939,-0.017024168,-0.578724623,-0.582199791
2.45,-0.002480632,-0.013363128,-0.551231802,-0.552678749
2.46,-0.002570436,-0.000200371,-0.533768833,-0.499876458
2.47,-0.000167748,-0.005602351,-0.511361122,-0.472249265
2.48,-0.000832543,-0.009386945,-0.48463285,-0.468111049
2.49,-0.000199458,-0.01375546,-0.455206513,-0.473656752
2.5,0.000394575,-0.020823917,-0.424448639,-0.425113951
2.51,5.39E-05,-0.020105335,-0.389717489,-0.387652571
2.52,0.000285106,-0.024248245,-0.358424008,-0.376140897
2.53,0.000360381,-0.019879788,-0.329152077,-0.311941419
2.54,-0.000521358,-0.021112695,-0.29720211,-0.29868911
2.55,-0.000133153,-0.028864672,-0.2665371,-0.251586939
2.56,-0.000298284,-0.025654994,-0.232971191,-0.23071142
2.57,0.000213888,-0.023268632,-0.196644381,-0.227677571
2.58,0.001291145,-0.014716363,-0.177183777,-0.191272768
2.59,0.002405657,-0.011353191,-0.156283394,-0.163322559
2.6,0.002528532,-0.010834177,-0.129347831,-0.140666085
2.61,0.002600634,-0.013631704,-0.09265694,-0.11077375
2.62,0.003383855,-0.011554435,-0.054567024,-0.06733126
2.63,0.00363044,-0.011988416,-0.026566355,-0.035928725
2.64,0.00088379,-0.011602564,-0.02057709,-0.018091258
2.65,-0.000967381,-0.006983776,-0.01731441,-0.017620876
2.66,0.00028891,-0.006255105,-0.017237475,-0.018081963
2.67,-6.79E-05,-0.006521043,-0.017220436,-0.013346146
2.68,-0.000350924,-0.00713282,-0.015762636,-0.011816281
2.69,-0.000635639,-0.006723369,-0.014465569,-0.010339907
2.7,-0.000876576,-0.007221359,-0.013386101,-0.009317821
2.71,-0.000968394,-0.006870112,-0.01231626,-0.008252678
2.72,-0.001094548,-0.007446553,-0.011327613,-0.007816002
2.73,-0.0012507,-0.007001277,-0.010419262,-0.007675465
2.74,-0.001288588,-0.007760093,-0.009570531,-0.00823931
2.75,-0.001432409,-0.005312034,-0.008469468,-0.009241485
2.76,-0.001362778,-0.005111831,-0.007385985,-0.010787634
2.77,-0.001918232,-0.006513466,-0.00654796,-0.009124893
2.78,-0.00235435,-0.005302201,-0.005670134,-0.003144785
2.79,-0.002477062,-0.005155385,-0.004620691,-0.005727247
2.8,-0.0028757,-0.00597296,0.000778841,-0.00430464
2.81,-0.003050779,-0.010470421,0.024256624,0.012682111
2.82,-0.002319902,-0.015119016,0.058511764,0.037978382
2.83,-0.0016227,-0.017831153,0.104572654,0.075638125
2.84,-0.001905569,-0.02094529,0.153138876,0.213887596
2.85,-0.00109452,-0.015801678,0.214625031,0.184063761
2.86,-0.000527889,-0.03296876,0.26532042,0.192478392
2.87,-0.004817415,-0.0259852,0.31003952,0.247875087
2.88,-0.006491155,-0.035638987,0.337610483,0.28089436
2.89,-0.010592719,-0.028797221,0.364554346,0.317312492
2.9,-0.015053468,-0.041500945,0.392198622,0.351556927
2.91,-0.018102577,-0.040570231,0.415925086,0.380251114
2.92,-0.020614758,-0.034311078,0.439019412,0.399554734
2.93,-0.017910901,-0.03911996,0.462330431,0.419862004
2.94,-0.018944353,-0.034341173,0.491793871,0.442304052
2.95,-0.018559717,-0.038297507,0.521083713,0.469719245
2.96,-0.020654686,-0.025266901,0.542073846,0.493475628
2.97,-0.022927295,-0.036575809,0.560599566,0.496986203
2.98,-0.025106058,-0.03583019,0.575825632,0.528577984
2.99,-0.024186317,-0.035044416,0.590731263,0.53307168
3,-0.026272101,-0.037258252,0.608716369,0.547059821
3.01,-0.02846369,-0.043003944,0.630399168,0.55974766
3.02,-0.029460579,-0.059417705,0.645490766,0.576953811
3.03,-0.026127927,-0.02866517,0.659675539,0.628984332
3.04,-0.024514239,-0.023909003,0.670792401,0.624366115
3.05,-0.025068793,-0.027067753,0.679059148,0.620233493
3.06,-0.025681995,-0.027091595,0.683319092,0.619107773
3.07,-0.025618643,-0.031287598,0.684026837,0.617241836
3.08,-0.025452232,-0.030933578,0.6828444,0.616381392
3.09,-0.025059849,-0.031449851,0.681190252,0.614508653
3.1,-0.024805557,-0.030959074,0.681217611,0.613252347
3.11,-0.024510872,-0.029455322,0.680415332,0.612272544
3.12,-0.024345865,-0.03045274,0.679780304,0.613207701
3.13,-0.024004769,-0.030250177,0.677470624,0.610879955
3.14,-0.023699565,-0.032045204,0.675418139,0.610849356
3.15,-0.023320911,-0.03044463,0.672733545,0.60831038
3.16,-0.022646395,-0.027879753,0.668141603,0.604760506
3.17,-0.020753711,-0.024884922,0.656880021,0.598188664
3.18,-0.031374507,-0.026486097,0.646284401,0.580227716
3.19,-0.032884058,-0.025330726,0.619036853,0.56771886
3.2,-0.030709026,-0.044478365,0.584984481,0.550703732
3.21,-0.039752953,-0.021719047,0.570442617,0.530521713
3.22,-0.03411293,-0.024306414,0.536620855,0.506303065
3.23,-0.029433418,-0.02215568,0.504970729,0.474995867
3.24,-0.026154967,-0.018893451,0.471094102,0.448520315
3.25,-0.023189239,-0.019687502,0.435717821,0.41959828
3.26,-0.019310601,-0.017393526,0.407498002,0.393455996
3.27,-0.014168081,-0.014252309,0.379924446,0.366309753
3.28,-0.011725515,-0.022974697,0.351123273,0.355962125
3.29,-0.011316332,-0.015800388,0.325689077,0.328886018
3.3,-0.010060212,-0.014517229,0.303907663,0.291562535
3.31,-0.008858319,-0.022787213,0.275713444,0.252765348
3.32,-0.009315261,-0.021829807,0.251841784,0.230235651
